time,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,state
101330,-100,-100,-94,-100,-100,-84,-79,-100,-60,-100,stay
101340,-100,-100,-100,-100,-100,-75,-100,-50,-60,-73,stay
101350,-100,-100,-94,-100,-100,-84,-68,-61,-59,-74,stay
101300,-100,-100,-100,-100,-100,-84,-100,-53,-68,-100,stay
101310,-100,-100,-94,-100,-100,-83,-72,-58,-58,-100,stay
101320,-100,-100,-94,-100,-100,-82,-70,-60,-57,-100,stay
101330,-100,-100,-94,-100,-100,-84,-79,-100,-60,-100,stay
101340,-100,-100,-100,-100,-100,-75,-100,-50,-60,-73,stay
101350,-100,-100,-94,-100,-100,-84,-68,-61,-59,-74,stay
101400,-100,-100,-100,-100,-88,-83,-82,-58,-67,-100,stay
101410,-100,-100,-95,-100,-100,-80,-100,-60,-60,-100,stay
110620,-100,-100,-100,-100,-80,-100,-67,-53,-100,-69,stay
110630,-100,-100,-100,-100,-80,-79,-100,-100,-68,-100,stay
110640,-100,-100,-100,-96,-100,-77,-100,-100,-100,-100,stay
110650,-100,-100,-100,-97,-80,-82,-100,-100,-59,-100,stay
101400,-100,-100,-100,-100,-88,-83,-82,-58,-67,-100,stay
101410,-100,-100,-95,-100,-100,-80,-100,-60,-60,-100,stay
110620,-100,-100,-100,-100,-80,-100,-67,-53,-100,-69,stay
110630,-100,-100,-100,-100,-80,-79,-100,-100,-68,-100,stay
110640,-100,-100,-100,-96,-100,-77,-100,-100,-100,-100,stay
110650,-100,-100,-100,-97,-80,-82,-100,-100,-59,-100,stay
110700,-100,-100,-100,-100,-79,-100,-100,-61,-100,-75,stay
110710,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,stay
110720,-100,-100,-95,-100,-100,-83,-100,-100,-57,-100,stay
110730,-100,-100,-100,-100,-82,-100,-71,-100,-100,-65,stay
110740,-100,-100,-100,-100,-84,-100,-70,-100,-59,-72,stay
110750,-100,-100,-96,-100,-86,-76,-69,-65,-66,-100,stay
110700,-100,-100,-100,-100,-79,-100,-100,-61,-100,-75,stay
110710,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,stay
110720,-100,-100,-95,-100,-100,-83,-100,-100,-57,-100,stay
110730,-100,-100,-100,-100,-82,-100,-71,-100,-100,-65,stay
110740,-100,-100,-100,-100,-84,-100,-70,-100,-59,-72,stay
110750,-100,-100,-96,-100,-86,-76,-69,-65,-66,-100,stay
110800,-100,-100,-100,-100,-77,-83,-100,-100,-100,-74,stay
110810,-100,-100,-100,-100,-86,-100,-69,-100,-62,-85,stay
110820,-100,-100,-94,-100,-80,-100,-68,-100,-57,-100,stay
110830,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,stay
110840,-100,-100,-96,-100,-100,-100,-69,-60,-100,-67,stay
110850,-100,-100,-100,-91,-85,-100,-100,-72,-100,-100,stay
110800,-100,-100,-100,-100,-77,-83,-100,-100,-100,-74,stay
110810,-100,-100,-100,-100,-86,-100,-69,-100,-62,-85,stay
110820,-100,-100,-94,-100,-80,-100,-68,-100,-57,-100,stay
110830,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,stay
110840,-100,-100,-96,-100,-100,-100,-69,-60,-100,-67,stay
110850,-100,-100,-100,-91,-85,-100,-100,-72,-100,-100,stay
110900,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,stay
110910,-100,-100,-100,-100,-85,-100,-69,-100,-60,-100,stay
110920,-100,-100,-91,-100,-100,-100,-71,-60,-100,-68,stay
110930,-100,-100,-100,-100,-85,-100,-72,-100,-100,-76,stay
110940,-100,-100,-100,-100,-85,-100,-100,-100,-66,-72,stay
110950,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,stay
110900,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,stay
110910,-100,-100,-100,-100,-85,-100,-69,-100,-60,-100,stay
110920,-100,-100,-91,-100,-100,-100,-71,-60,-100,-68,stay
110930,-100,-100,-100,-100,-85,-100,-72,-100,-100,-76,stay
110940,-100,-100,-100,-100,-85,-100,-100,-100,-66,-72,stay
110950,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,stay
111000,-100,-100,-100,-100,-85,-85,-100,-100,-60,-100,stay
111010,-100,-100,-100,-100,-81,-100,-100,-100,-64,-100,stay
111020,-100,-100,-100,-100,-100,-83,-70,-100,-59,-71,stay
111030,-100,-100,-100,-100,-85,-100,-100,-100,-60,-76,stay
111040,-100,-100,-100,-100,-85,-100,-100,-62,-58,-76,stay
111050,-100,-100,-93,-100,-75,-77,-100,-66,-59,-75,stay
100000,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100010,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100020,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100030,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100040,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100050,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100110,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100120,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100130,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100140,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100150,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
111000,-100,-100,-100,-100,-85,-85,-100,-100,-60,-100,stay
111010,-100,-100,-100,-100,-81,-100,-100,-100,-64,-100,stay
111020,-100,-100,-100,-100,-100,-83,-70,-100,-59,-71,stay
111030,-100,-100,-100,-100,-85,-100,-100,-100,-60,-76,stay
111040,-100,-100,-100,-100,-85,-100,-100,-62,-58,-76,stay
111050,-100,-100,-93,-100,-75,-77,-100,-66,-59,-75,stay
111100,-100,-100,-95,-100,-83,-100,-100,-100,-57,-78,stay
111110,-100,-100,-95,-100,-85,-100,-73,-61,-100,-100,stay
111120,-100,-100,-96,-100,-82,-100,-100,-100,-56,-75,stay
111130,-100,-100,-100,-84,-84,-100,-72,-53,-59,-73,stay
111140,-100,-100,-94,-100,-82,-100,-100,-63,-59,-71,stay
111150,-100,-100,-80,-100,-85,-100,-100,-100,-66,-68,stay
111100,-100,-100,-95,-100,-83,-100,-100,-100,-57,-78,stay
111110,-100,-100,-95,-100,-85,-100,-73,-61,-100,-100,stay
111120,-100,-100,-96,-100,-82,-100,-100,-100,-56,-75,stay
111130,-100,-100,-100,-84,-84,-100,-72,-53,-59,-73,stay
111140,-100,-100,-94,-100,-82,-100,-100,-63,-59,-71,stay
111150,-100,-100,-80,-100,-85,-100,-100,-100,-66,-68,stay
111200,-100,-100,-96,-100,-82,-100,-69,-59,-57,-66,stay
