Datetime,Real_state,Predicted_state_cgr,Predicted_state_cg
2025-05-16 09:32:00,outside,outside,outside
2025-05-16 09:34:00,outside,outside,outside
2025-05-16 09:35:00,arrival,arrival,arrival
2025-05-16 09:36:00,stay,stay,stay
2025-05-16 09:37:00,stay,stay,stay
2025-05-16 09:39:00,stay,stay,stay
2025-05-16 09:40:00,stay,stay,stay
2025-05-16 09:41:00,stay,stay,stay
2025-05-16 09:42:00,stay,stay,stay
2025-05-16 09:44:00,stay,stay,stay
2025-05-16 09:45:00,stay,stay,stay
2025-05-16 09:46:00,stay,stay,stay
2025-05-16 09:48:00,stay,stay,stay
2025-05-16 09:49:00,stay,stay,stay
2025-05-16 09:50:00,stay,stay,stay
2025-05-16 09:51:00,stay,stay,stay
2025-05-16 09:53:00,stay,stay,stay
2025-05-16 09:54:00,stay,stay,stay
2025-05-16 09:55:00,stay,stay,stay
2025-05-16 09:56:00,stay,stay,stay
2025-05-16 09:58:00,stay,stay,stay
2025-05-16 09:59:00,stay,stay,stay
2025-05-16 10:00:00,stay,stay,stay
2025-05-16 10:02:00,stay,stay,stay
2025-05-16 10:03:00,stay,stay,stay
2025-05-16 10:04:00,stay,stay,stay
2025-05-16 10:05:00,stay,stay,stay
2025-05-16 10:07:00,stay,stay,stay
2025-05-16 10:08:00,stay,stay,stay
2025-05-16 10:09:00,stay,stay,stay
2025-05-16 10:11:00,stay,stay,stay
2025-05-16 10:12:00,stay,stay,stay
2025-05-16 10:13:00,stay,stay,stay
2025-05-16 10:15:00,stay,stay,stay
2025-05-16 10:16:00,stay,stay,stay
2025-05-16 10:17:00,stay,stay,stay
2025-05-16 10:18:00,stay,stay,stay
2025-05-16 10:20:00,stay,stay,stay
2025-05-16 10:21:00,stay,stay,stay
2025-05-16 10:22:00,stay,stay,stay
2025-05-16 10:24:00,stay,stay,stay
2025-05-16 10:25:00,stay,stay,stay
2025-05-16 10:26:00,stay,stay,stay
2025-05-16 10:28:00,stay,stay,stay
2025-05-16 10:29:00,stay,stay,stay
2025-05-16 10:31:00,stay,stay,stay
2025-05-16 10:32:00,stay,stay,stay
2025-05-16 10:33:00,stay,stay,stay
2025-05-16 10:35:00,stay,stay,stay
2025-05-16 10:36:00,stay,stay,stay
2025-05-16 10:37:00,stay,stay,stay
2025-05-16 10:39:00,stay,stay,stay
2025-05-16 10:40:00,stay,stay,stay
2025-05-16 10:41:00,stay,stay,stay
2025-05-16 10:43:00,stay,stay,stay
2025-05-16 10:44:00,stay,stay,stay
2025-05-16 10:45:00,stay,stay,stay
2025-05-16 10:47:00,stay,stay,stay
2025-05-16 10:48:00,stay,stay,stay
2025-05-16 10:49:00,stay,stay,stay
2025-05-16 10:51:00,stay,stay,stay
2025-05-16 10:52:00,stay,stay,stay
2025-05-16 10:54:00,stay,stay,stay
2025-05-16 10:55:00,stay,stay,stay
2025-05-16 10:56:00,stay,stay,stay
2025-05-16 10:58:00,leave,leave,leave
2025-05-16 10:59:00,outside,outside,outside
2025-05-16 11:00:00,outside,outside,outside
2025-05-16 11:02:00,outside,outside,outside
2025-05-16 11:03:00,outside,outside,outside
2025-05-16 11:05:00,outside,outside,outside
2025-05-16 11:06:00,outside,outside,outside
2025-05-16 11:07:00,outside,outside,outside
2025-05-16 11:09:00,outside,outside,outside
2025-05-16 11:10:00,outside,outside,outside
2025-05-16 11:12:00,outside,outside,outside
2025-05-16 11:13:00,outside,outside,outside
2025-05-16 11:14:00,outside,outside,outside
2025-05-16 11:16:00,outside,outside,outside
2025-05-16 11:17:00,outside,outside,outside
2025-05-16 11:18:00,outside,outside,outside
2025-05-16 11:20:00,outside,outside,outside
2025-05-16 11:21:00,outside,outside,outside
2025-05-16 11:23:00,outside,outside,outside
2025-05-16 11:24:00,outside,outside,outside
2025-05-16 11:25:00,outside,outside,outside
2025-05-16 11:27:00,outside,outside,outside
2025-05-16 11:28:00,outside,outside,outside
2025-05-16 11:30:00,outside,outside,outside
2025-05-16 11:31:00,outside,outside,outside
2025-05-16 11:33:00,outside,outside,outside
2025-05-16 11:34:00,outside,outside,outside
2025-05-16 11:35:00,outside,outside,outside
2025-05-16 11:37:00,outside,outside,outside
2025-05-16 11:38:00,outside,outside,outside
2025-05-16 11:40:00,outside,outside,outside
2025-05-16 11:41:00,outside,outside,outside
2025-05-16 11:43:00,outside,outside,outside
2025-05-16 11:44:00,outside,outside,outside
2025-05-16 11:46:00,outside,outside,outside
2025-05-16 11:47:00,outside,outside,outside
2025-05-16 11:48:00,outside,outside,outside
2025-05-16 11:50:00,outside,outside,outside
2025-05-16 11:51:00,outside,outside,outside
2025-05-16 11:53:00,outside,outside,outside
2025-05-16 11:54:00,outside,outside,outside
2025-05-16 11:56:00,outside,outside,outside
2025-05-16 11:57:00,outside,outside,outside
2025-05-16 11:59:00,outside,outside,outside
2025-05-16 12:00:00,outside,outside,outside
2025-05-16 12:02:00,outside,outside,outside
2025-05-16 12:03:00,outside,outside,outside
2025-05-16 12:05:00,outside,outside,outside
2025-05-16 12:06:00,outside,outside,outside
2025-05-16 12:08:00,outside,outside,outside
2025-05-16 12:09:00,outside,outside,outside
2025-05-16 12:11:00,outside,outside,outside
2025-05-16 12:12:00,outside,outside,outside
2025-05-16 12:14:00,outside,outside,outside
2025-05-16 12:15:00,outside,outside,outside
2025-05-16 12:17:00,outside,outside,outside
2025-05-16 12:18:00,outside,outside,outside
2025-05-16 12:20:00,outside,outside,outside
2025-05-16 12:21:00,outside,outside,outside
2025-05-16 12:23:00,outside,outside,outside
2025-05-16 12:24:00,outside,outside,outside
2025-05-16 12:26:00,arrival,outside,outside
2025-05-16 12:27:00,stay,stay,stay
2025-05-16 12:29:00,stay,stay,stay
2025-05-16 12:30:00,stay,stay,stay
2025-05-16 12:32:00,stay,stay,stay
2025-05-16 12:33:00,stay,stay,stay
2025-05-16 12:35:00,stay,stay,stay
2025-05-16 12:36:00,stay,stay,stay
2025-05-16 12:38:00,stay,stay,stay
2025-05-16 12:40:00,stay,stay,stay
2025-05-16 12:41:00,stay,stay,stay
