Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 09:08:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:08:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:08:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:08:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:09:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:10:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:11:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:12:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:13:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:14:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:15:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:16:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:17:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:18:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:19:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:20:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:21:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:22:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:22:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:22:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
