ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
415,outside,outside,outside,outside,outside,outside,outside
416,outside,outside,outside,outside,outside,outside,outside
417,outside,outside,outside,outside,outside,outside,outside
418,outside,outside,outside,outside,outside,outside,outside
419,outside,outside,outside,outside,outside,outside,outside
420,outside,outside,outside,outside,outside,outside,outside
421,outside,outside,outside,outside,outside,outside,outside
422,outside,outside,outside,outside,outside,outside,outside
423,outside,outside,outside,outside,outside,outside,outside
424,outside,outside,outside,outside,outside,outside,outside
425,outside,outside,outside,outside,outside,outside,outside
426,stay,stay,stay,stay,stay,stay,outside
427,stay,stay,stay,stay,outside,stay,outside
428,stay,stay,outside,outside,stay,outside,outside
429,stay,outside,outside,stay,outside,outside,outside
430,outside,outside,stay,outside,outside,outside,outside
431,outside,stay,outside,outside,outside,outside,outside
432,stay,outside,outside,outside,outside,outside,outside
433,outside,outside,outside,outside,outside,outside,outside
434,outside,outside,outside,outside,outside,outside,outside
435,outside,outside,outside,outside,outside,outside,outside
436,outside,outside,outside,outside,outside,outside,outside
437,outside,outside,outside,outside,outside,outside,outside
438,outside,outside,outside,outside,outside,outside,outside
439,outside,outside,outside,outside,outside,outside,outside
440,outside,outside,outside,outside,outside,outside,outside
441,outside,outside,outside,outside,outside,outside,outside
442,outside,outside,outside,outside,outside,outside,outside
443,outside,outside,outside,outside,outside,outside,outside
444,outside,outside,outside,outside,outside,outside,outside
445,outside,outside,outside,outside,outside,outside,outside
446,outside,outside,outside,outside,outside,outside,outside
447,outside,outside,outside,outside,outside,outside,outside
448,outside,outside,outside,outside,outside,outside,outside
449,outside,outside,outside,outside,outside,outside,outside
450,outside,outside,outside,outside,outside,outside,outside
451,outside,outside,outside,outside,outside,outside,outside
452,outside,outside,outside,outside,outside,outside,outside
453,outside,outside,outside,outside,outside,outside,outside
454,outside,outside,outside,outside,outside,outside,outside
455,outside,outside,outside,outside,outside,outside,outside
456,outside,outside,outside,outside,outside,outside,outside
457,outside,outside,outside,outside,outside,outside,outside
458,stay,stay,stay,stay,stay,outside,outside
459,stay,stay,stay,stay,outside,outside,outside
460,stay,stay,stay,outside,outside,outside,outside
461,stay,stay,outside,outside,outside,outside,outside
462,stay,outside,outside,outside,outside,outside,outside
463,outside,outside,outside,outside,outside,outside,outside
464,outside,outside,outside,outside,outside,outside,outside
465,outside,outside,outside,outside,outside,outside,outside
466,outside,outside,outside,outside,outside,outside,outside
